,,"12/29/2019",,"USAA CREDIT CARD PAYMENT SAN ANTONIO  TX     ","",89.98
,,"12/29/2019",,"BED BATH & BEYOND #119 CANTON  OH CREDIT     ","",110.75
,,"12/22/2019",,"CNK*CINEMARK.COM 139     800-246-3627 OH     ","",-39
,,"12/21/2019",,"RED ROBIN NO 601         CANTON       OH     ","",-16
,,"12/20/2019",,"SHEETZ 0431   00004317   NORTH CANTON OH     ","",-34.98
,,"12/20/2019",,"USAA CREDIT CARD PAYMENT SAN ANTONIO  TX     ","",251.12
,,"12/18/2019",,"MACYS  BELDEN VILLAGE    CANTON       OH     ","",-37.93
,,"12/18/2019",,"CHIPOTLE 1513            CANTON       OH     ","",-7.15
,,"12/18/2019",,"WAL-MART #2361           NORTH CANTON OH     ","",-22.41
,,"12/17/2019",,"WAL-MART #2361           NORTH CANTON OH     ","",-9.71
,,"12/17/2019",,"PARK CENTRE LANES INC.   CANTON       OH     ","",-10
,,"12/17/2019",,"BED BATH & BEYOND #119   CANTON       OH     ","",-110.75
,,"12/13/2019",,"JERZEESMBAR              CANTON       OH     ","",-15.98
,,"12/13/2019",,"JERZEESMBAR              CANTON       OH     ","",-3.73
,,"12/11/2019",,"MACYS  BELDEN VILLAGE    CANTON       OH     ","",-17.02
,,"12/11/2019",,"ALDI 63054               CANTON       OH     ","",-8.5
,,"12/10/2019",,"USAA CREDIT CARD PAYMENT SAN ANTONIO  TX     ","",118.11
,,"12/09/2019",,"TOM AND CHEE 0007 QSR    NEWPORT      KY     ","",-7.94
,,"12/08/2019",,"SKYLINE CHILI            CINCINNATI   OH     ","",-14.55
,,"12/07/2019",,"KROGER #929              CINCINNATI   OH     ","",-21.39
,,"12/07/2019",,"MURPHYS PUB - CINCINNATI CINCINNATI   OH     ","",-14.3
,,"12/07/2019",,"Spotify USA              877-7781161  NY     ","",-5.31
,,"12/05/2019",,"ARAMARK CHICK FIL A      CINCINNATI   OH     ","",-7.78
,,"12/01/2019",,"COSTCO GAS #1197         FLORENCE     KY     ","",-29.08
,,"12/01/2019",,"USAA CREDIT CARD PAYMENT SAN ANTONIO  TX     ","",117.13
